window_ID,timeStamp,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz
1,1635234072.426362,-8.799888201904297,-5.108029241943359,-2.3319524169921872,1.0687022900763359,1.3587786259541985,0.4732824427480916,10.438773739174472
1,1635234072.5044682,-8.722076647949219,-4.979939453125,-2.2493524597167966,1.3435114503816794,1.4809160305343512,0.3969465648854962,10.292424617043645
1,1635234072.5981975,-8.659827404785156,-4.847061260986328,-2.1894974182128903,1.633587786259542,1.5114503816793894,0.3053435114503817,10.162702027157113
1,1635234072.5981975,-8.632294085693358,-4.611232397460937,-2.157175695800781,1.816793893129771,1.5267175572519085,0.24427480916030533,10.021645193671718
1,1635234072.5981975,-8.556876733398436,-4.587290380859375,-2.142810485839844,1.5267175572519085,1.3740458015267176,0.3969465648854962,9.942585641930656
1,1635234072.5981975,-8.49103618774414,-4.593275885009765,-2.1116858642578125,1.3129770992366412,1.3282442748091603,0.32061068702290074,9.882059303945663
1,1635234072.6138186,-8.465897070312499,-4.590881683349609,-2.0745757385253905,1.2366412213740459,1.450381679389313,0.015267175572519083,9.85147056690111
1,1635234072.6138186,-8.462305767822265,-4.565742565917969,-2.038662713623047,1.282442748091603,1.5725190839694656,-0.2595419847328244,9.829179505242035
1,1635234072.6138186,-8.415618835449218,-4.528632440185547,-2.023100402832031,1.3893129770992367,1.5725190839694656,-0.549618320610687,9.76852534427831
1,1635234072.6294656,-8.397662322998046,-4.5585599609375,-2.032677209472656,1.297709923664122,1.7709923664122138,-0.9007633587786259,9.768980399533667
1,1635234072.6607082,-8.391676818847655,-4.581304876708984,-2.020706201171875,1.2213740458015268,1.8778625954198473,-1.0229007633587786,9.77199302889626
1,1635234072.6919503,-8.394071020507813,-4.586093280029297,-2.000355487060547,1.1908396946564885,1.9389312977099236,-1.1145038167938932,9.77210836744416
1,1635234072.6919503,-8.391676818847655,-4.593275885009765,-1.9788076721191405,0.3053435114503817,1.3740458015267176,1.2213740458015268,9.769037976742382
1,1635234072.6919503,-8.350975390624999,-4.509478826904297,-2.013523596191406,-0.16793893129770993,1.8931297709923665,1.9236641221374047,9.701982608598207
1,1635234072.7388155,-8.349778289794921,-4.502296221923828,-2.032677209472656,-0.16793893129770993,1.9694656488549618,1.8473282442748091,9.70161045376435
1,1635234072.7388155,-8.354566693115235,-4.508281726074219,-2.04943662109375,-0.21374045801526717,2.045801526717557,1.7404580152671756,9.712032702542002
1,1635234072.7388155,-8.371326104736328,-4.504690423583984,-2.059013427734375,-0.3511450381679389,2.1374045801526718,1.5267175572519085,9.726812060472826
1,1635234072.770058,-8.374917407226562,-4.50109912109375,-2.068590234375,-0.4122137404580153,2.16793893129771,1.465648854961832,9.730272372011434
1,1635234072.848139,-8.388085516357421,-4.491522314453125,-2.0733786376953125,-0.5190839694656488,2.1526717557251906,1.3893129770992367,9.738205702602857
1,1635234072.8950033,-8.422801440429687,-4.485536810302734,-2.086546746826172,-0.8244274809160306,2.030534351145038,1.282442748091603,9.768178023980528
1,1635234072.9418678,-8.443152154541016,-4.486733911132812,-2.090138049316406,-0.9923664122137404,1.9083969465648856,1.251908396946565,9.787046365438345
1,1635234072.9887316,-8.461108666992187,-4.487931011962891,-2.098517755126953,-1.1297709923664123,1.7557251908396947,1.251908396946565,9.8048794694974
1,1635234073.0668664,-8.463502868652343,-4.4819455078125,-2.098517755126953,-1.3893129770992367,1.4045801526717556,1.282442748091603,9.804207928806393
1,1635234073.1293519,-8.450334759521484,-4.474762902832031,-2.105700360107422,-1.4961832061068703,1.2061068702290076,1.297709923664122,9.791099764127383
